Recipient.Organization,recipientcodename,year
Global Public Policy Institute,academia/think/research,
Tufts University,academia/think/research,
Carl Duisberg Gesellschaft,academia/think/research,
Article 36,academia/think/research,
"Senter for kunnskap og likestilling, Kvinneuniversitetet Nord",academia/think/research,
Institutt for Journalistikk,academia/think/research,
Oxford Research Group,academia/think/research,
Centre d'Enseignement et de Recherche en Action Humanitaire,academia/think/research,
Assessment Capacities Project,academia/think/research,
Global Reporting Initiative,academia/think/research,
Wilton Park,academia/think/research,
Norsk Ressursbank for demokrati og menneskerettigheter,academia/think/research,
Bjerknes Centre for Climate Research,academia/think/research,
Norges Geotekniske Institutt,academia/think/research,
Centre for Civil and Political Rights,academia/think/research,
"PRIO - International Peace Research Institute, Oslo",academia/think/research,
Tromsø Mineskadesenter/Tromsoe Mine Victim Resource Center,academia/think/research,
Instituto Sou da Paz,academia/think/research,
Lebanon Support,academia/think/research,
Global Centre for the Responsibility to Protect,academia/think/research,
Missionsärztliches Institut Würzburg,academia/think/research,
National Society for Earthquake Technology,academia/think/research,
Marshall Legacy Institute,academia/think/research,
Afghan Research and Evaluation Unit,academia/think/research,
Centre for Peacekeeping and Community Development,academia/think/research,
Humanitarian Policy Group,academia/think/research,
Harvard University,academia/think/research,
GROUPE URD,academia/think/research,
Feinstein Center,academia/think/research,
Joint IDP Profiling Service,academia/think/research,
Land Research Center,academia/think/research,
Applied Research Institute Jerusalem,academia/think/research,
International Law and Policy Institute,academia/think/research,
Fleet Forum,academia/think/research,
International Initiative for Impact Evaluation (3ie),academia/think/research,
Universal Rights Group,academia/think/research,
FAFO,academia/think/research,
Raoul Wallenberg Institute of Human Rights and Humanitarian Law,academia/think/research,
Institute for Human Rights and Business,academia/think/research,
Demos Institute,academia/think/research,
Center for Applied Linguistics,academia/think/research,
Forced Migration Review,academia/think/research,
Child Rights Information Network,academia/think/research,
SPHERE,academia/think/research,
Center for Research on the Epidemiology of Disasters,academia/think/research,
"Information Technology Outreach Services, U of Georgia",academia/think/research,
Center for Womens Legal Research and Consulting,academia/think/research,
"Karolinska Institutet, Department of Public Health Sciences",academia/think/research,
John Hopkins Center for Communication Programs,academia/think/research,
Education Development Center,academia/think/research,
The Cuny Center,academia/think/research,
The Carter Centre,academia/think/research,
"Organization for Refuge, Asylum and Migration",academia/think/research,
Humanitarian Policy and Conflict Research,academia/think/research,
Palestinian Farmers Association,academia/think/research,
Network on Humanitarian Assistance,academia/think/research,
Famine Early Warning Sytem,academia/think/research,
GeoForschungsZentrum Potsdam,academia/think/research,
Academy for Educational Development,academia/think/research,
World University Service,academia/think/research,
Khartoum Teaching Hospital,academia/think/research,
Academy Charity Teaching Hospital,academia/think/research,
Global 2000 of the Carter Centre,academia/think/research,
GFZ German Research Centre,academia/think/research,
Remedial English and Science Course Centre,academia/think/research,
The SEEP Network,academia/think/research,
Refugee Studies Centre,academia/think/research,
The New Humanitarian (formerly Integrated Regional Information Network),academia/think/research,
International Maize and Wheat Improvement Center,academia/think/research,
International Centre for Migration Policy Development,academia/think/research,
Women's Affairs Center,academia/think/research,
Humanitarian Outcomes,academia/think/research,
International Potato Center,academia/think/research,
Florida International University,academia/think/research,
John Hopkins University,academia/think/research,
Life and Peace Institute,academia/think/research,
IUED,academia/think/research,
International Peace Research Institute,academia/think/research,
Centre for International Political Studies,academia/think/research,
American University of Nigeria,academia/think/research,
REACH Initiative,academia/think/research,
University of Hawaii at Manoa,academia/think/research,
Abt Associates,academia/think/research,
Ground Truth Solutions,academia/think/research,
HERE-Geneva,academia/think/research,
Sustainable Development Foundation,academia/think/research,
George Washington University,academia/think/research,
Center for Strategic and International Studies,academia/think/research,
Consejo Superior Universitario Centroamericano,academia/think/research,
Johns Hopkins University,academia/think/research,
Purdue University,academia/think/research,
The Legal Agenda,academia/think/research,
The Cash Learning Partnership,academia/think/research,
ISRAELI INFO.CNTR.HUMAN RIGHTS (B-TSELEM),academia/think/research,
Center for Civic Engagement and Community Service - American University of Beirut,academia/think/research,
CORE Group Inc.,academia/think/research,
Danish Production School,academia/think/research,
University of Colorado,academia/think/research,
Arizona State University,academia/think/research,
Congressional Hunger Center,academia/think/research,
Valid International,academia/think/research,
London School of Hygiene and Tropical Medicine,academia/think/research,
Columbia University,academia/think/research,
Medical Research Council,academia/think/research,
Rural Health Services,academia/think/research,
University of Applied Sciences Northwestern Switzerland (Fachhochschule Nordwestschweiz FHNW),academia/think/research,
University of Maryland Eastern Shore,academia/think/research,
Jamia Darussalam,academia/think/research,
Al-Jamia Saadatul Uloom Trust,academia/think/research,
CDE - University Berne,academia/think/research,
"International Centre for Diarrhoeal Disease Research, Bangladesh",academia/think/research,
University of Geneva,academia/think/research,
Institute for International Social Affairs,academia/think/research,
Danish Bilharziasis Laboratory,academia/think/research,
Peace and Conflict Institution,academia/think/research,
Berne University,academia/think/research,
Société Algérienne de Recherche en Psychologie,academia/think/research,
International Institute of Tropical Agriculture,academia/think/research,
International Peace Academy,academia/think/research,
Nordic Demining Research Forum,academia/think/research,
INETER,academia/think/research,
ICIMOD,academia/think/research,
International NGO Training and Research Centre,academia/think/research,
Center for  Civil Military Relations,academia/think/research,
San Remo Institute for Humanitarian Law,academia/think/research,
Tsunami Evaluation Coalition,academia/think/research,
Ecole Polytechnique Fédérale De Lausanne,academia/think/research,
Consultative Group on International Agricultural Research,academia/think/research,
Swiss Academy of Development,academia/think/research,
ISPED,academia/think/research,
World Agroforestry Centre,academia/think/research,
International Agricultural Research Center,academia/think/research,
Nobels Fredssenter,academia/think/research,
International Center for Integrated Mountain Development,academia/think/research,
"Seismic Research Unit, Univ. of West Indies",academia/think/research,
"Episcopal Conference, Peru",academia/think/research,
PUNTO SUD,academia/think/research,
Diplomatische Akademie Wien,academia/think/research,
World Agency of Planetary Monitoring and Earthquake Risk Reduction,academia/think/research,
University of Capetown,academia/think/research,
Oxford University,academia/think/research,
"Universidad Nacional a Distancia, Costa Rica",academia/think/research,
Instituto Cabo Verdiano de Accao Social Escolar,academia/think/research,
International Center for Agricultural Research in Dry Areas,academia/think/research,
Høyskolen i Buskerud,academia/think/research,
"Centre de Recherche en Astronomie, Astrophysique et Geophysique",academia/think/research,
Kings College London,academia/think/research,
Helse Bergen HF,academia/think/research,
Abo Akademi University,academia/think/research,
"Sunnaas sykehus HF, Forskningsavdelingen",academia/think/research,
INST. UNIV. DE HAUTES ETUDES INT.,academia/think/research,
University of Nebraska,academia/think/research,
Irish Centre for Human Rights,academia/think/research,
International Institute of Rural Reconstruction,academia/think/research,
Danish Institute for Human Rights,academia/think/research,
Rural Reconstruction Nepal,academia/think/research,
International Security Sector Advisory Team,academia/think/research,
NUPI - Norsk utenr.pol. inst.,academia/think/research,
NTNU,academia/think/research,
The Graduate Center,academia/think/research,
Centre d'action pour le dévéloppement,academia/think/research,
Centre de Développement Intégral (CDI/Yakoma),academia/think/research,
CEDI,academia/think/research,
Høgskolen i Oslo,academia/think/research,
Instituto de Estudios del Hambre,academia/think/research,
The Hebrew University of Jerusalem,academia/think/research,
Geneva Institute for Human Rights,academia/think/research,
Nordic Institute of Asian Studies,academia/think/research,
Institute of Development Studies,academia/think/research,
AMMAN CENTER HUMAN RIGHTS STUDIES,academia/think/research,
UniverSud-Liège,academia/think/research,
Swisspeace,academia/think/research,
EQUITAS - International Centre for Human Rights Education,academia/think/research,
International Council on Human Rights Policy,academia/think/research,
Tulane University,academia/think/research,
Universidad Central de Las Villas,academia/think/research,
"Population Leadership Program, the University of Washington",academia/think/research,
Milinda Moragoda institute for people's empowerment,academia/think/research,
Institutt for Sosiologi og Samfunnsgeografi,academia/think/research,
Small Arms Survey,academia/think/research,
North-South Institute,academia/think/research,
World Congress Against the Death Penalty,academia/think/research,
University of Miami,academia/think/research,
American Institutes for Research,academia/think/research,
ISS - Institute for Security Studies,academia/think/research,
Samisk Høgskole,academia/think/research,
Universidad de Chile,academia/think/research,
Centrum voor Afrikaanse Cultuur,academia/think/research,
Centre pour la Promotion de la Sante,academia/think/research,
Stockholm International Peace Research Institute,academia/think/research,
Universidad Nacional Autonoma de Honduras,academia/think/research,
Senter for Krisepsykologi,academia/think/research,
The Harvard Program on Humanitarian Policy and Conflict Research,academia/think/research,
Fundación para las Relaciones Internacionales y el Diálogo Exterior,academia/think/research,
Joint Research Centre,academia/think/research,
Burnet Institute,academia/think/research,
LPDS - Dr. Soetomo Press Institute,academia/think/research,
Centre for Research on the Epidemiology of Disasters,academia/think/research,
Non-Aligned Movement Institute for the Empowerment of Women,academia/think/research,
Center for Culture and Development,academia/think/research,
Centre de Recherche et d'Appui aux Initiatives de Développement Intégré,academia/think/research,
Unité de Recherche et d'Action Médico Légale,academia/think/research,
Heritage Foundation,academia/think/research,
University of Neuchâtel,academia/think/research,
WorldFish,academia/think/research,
Ludwig Boltzmann Institute of Human Rights,academia/think/research,
Center for Women’s Legal Research and Consulting,academia/think/research,
University of Greenwich,academia/think/research,
ELRHA,academia/think/research,
DORCAS ESPERANCE - Centre de réinsertion sociale d'enfants en détresse,NGOs,
Justice Gate Organization,NGOs,
Horn of Africa Peace Network,NGOs,
"Charitable Organization Charitable Foundation ""Donbass Development Center""",NGOs,
Social Fund for Development,NGOs,
Norwegian Research Council,National government,
Emdad Social Association for Development,NGOs,
Balochistan Rural Support Programme,NGOs,
Al Tamayouz for Orphan Sponsorship / Social Care Association,NGOs,
Horn Aid Trust,NGOs,
"Charitable Organization ""ICF ""MIRA"" (International Children’s Fund ""Mira"")",NGOs,
Takaful Alsham Charity Organization | NGOs (details not yet provided),NGOs,
Turkmenistan,National government,
Penny Appeal,NGOs,
Première Urgence Internationale | World Food Programme,Other,
Fayyaa Integrated Development Organization,NGOs,
Organization for Welfare and Development in Action,NGOs,
,,
Alemdad Charity Association,,
